User,Campaign,crm_Campagne_Naam_in_email,Likelihood
0005D759-A56F-E111-B43A-00505680000A,3CFB2D89-D701-ED11-82E5-000D3A2A9467,Voka Politica in Zwijnaarde 2022,96.96929149324191
0005D759-A56F-E111-B43A-00505680000A,F0BBA321-1336-EA11-810B-001DD8B72B62,Voka Netwekkers Gaat Digitaal,96.91250918267447
0005D759-A56F-E111-B43A-00505680000A,192C3C68-F992-EC11-B400-000D3A2B1748,Welkom@Voka - 14 juni 2022,96.84455206774577
0005D759-A56F-E111-B43A-00505680000A,AE5F16D7-5B01-EA11-8107-001DD8B72B62,Big Refresh - De grote voorjaarsupdate,96.75398339361297
0005D759-A56F-E111-B43A-00505680000A,5BF7B3A4-3A77-EB11-811A-001DD8B72B61,OV-NW-AIO-MatchMaking-Voka XpertFinder1-Digitalisering-Maart2021,96.70419033668466
0005D759-A56F-E111-B43A-00505680000A,B0D59BB6-5F96-ED11-AAD1-6045BD895D85,Voka Netwekkers te gast bij m-accent,96.60261157365294
0005D759-A56F-E111-B43A-00505680000A,0F57AC8B-EFBA-EC11-983F-6045BD8C52BD,Voka Politica - Maldegem 9 juni 2022,96.56766763486759
0005D759-A56F-E111-B43A-00505680000A,C9025DC3-C7C4-EC11-A7B6-000D3A497E09,Gent Jazz - Agnes Obel,96.55990853807013
0005D759-A56F-E111-B43A-00505680000A,1DA71D0D-8A84-EA11-8110-001DD8B72B62,Voka Netwekkers Digitaal - 6 mei 2020,96.34855887057594
0005D759-A56F-E111-B43A-00505680000A,9E035210-EE90-E911-80FF-001DD8B72B62,Lunchmeeting scale-ups vs Sofie Bracke,96.1930468453231
0005D759-A56F-E111-B43A-00505680000A,C36B6737-C539-E911-80FC-001DD8B72B61,OV-MATCH-Welkom@Voka - oktober 2019,96.17698295649
0005D759-A56F-E111-B43A-00505680000A,EDD5A874-F09D-EB11-811E-001DD8B72B62,Welkom@Voka - dinsdag 8 juni,96.0808299285037
0005D759-A56F-E111-B43A-00505680000A,84F841B9-CC43-ED11-BBA2-6045BD8956C9,Lunchmeeting met Frank Beckx op 3 maart 2023,95.98888428253602
0005D759-A56F-E111-B43A-00505680000A,46C0357E-13E0-ED11-A7C6-6045BD895FE4,Politica in Erpe-Mere,95.93357176398676
0005D759-A56F-E111-B43A-00505680000A,C9007FD3-6F2F-E911-80FB-001DD8B72B62,Lunchmeeting 6x6 scale-ups vs ceo's,95.87210870022076
0005D759-A56F-E111-B43A-00505680000A,C597C0F9-0851-EC11-8C62-000D3ABFCE8D,Lunch Nieuwe leden cat 5-6 op 9 december 2021 in de Voka Box,95.71297538446358
0005D759-A56F-E111-B43A-00505680000A,53D87EB7-CE48-EA11-810B-001DD8B72B61,Lunchmeeting Lobby met Niko Demeester - 27 augustus 2020,95.70679708823523
0005D759-A56F-E111-B43A-00505680000A,0E89DA7D-BBAA-EC11-983F-002248848076,Lunchmeeting met Frank Beckx op 31 augustus 2022,95.68729522652843
0005D759-A56F-E111-B43A-00505680000A,3C6E8BB5-6FBF-EA11-8111-001DD8B72B61,Lunchmeeting met Niko Demeester - 25 november 2020,95.59909574601326
0005D759-A56F-E111-B43A-00505680000A,4048E0EB-80ED-E811-80FA-001DD8B72B62,Lunchmeeting Niko Demeester,95.57401548003155
0005D759-A56F-E111-B43A-00505680000A,0F7A008F-4CBA-EC11-983F-6045BD8C5B6B,Lunchmeeting met Banque de Luxembourg - vrijdag 13 mei,95.2745409660888
0005D759-A56F-E111-B43A-00505680000A,58F3F1ED-2A32-EC11-8127-001DD8B72B62,Voka Vaart - Verkoop boek 'Vaartmakers',95.22109527502323
0005D759-A56F-E111-B43A-00505680000A,FC022BAB-B15E-EA11-810F-001DD8B72B62,OV-NW-Voka Update-AIO-Feb2020-Macro-economische vooruitzichten voor 2020,95.17757211208384
0005D759-A56F-E111-B43A-00505680000A,4F104A3B-E1B8-ED11-83FF-6045BD8956C9,Voka Politica in Dendermonde,95.01922646336062
0005D759-A56F-E111-B43A-00505680000A,63F86D01-6E5E-ED11-9561-6045BD895B5A,Voka te gast bij Bexco in Hamme,94.72801052957588
0005D759-A56F-E111-B43A-00505680000A,B099F5E1-0B49-EC11-8C62-6045BD8D2834,Welkom@Voka op 22 februari 2022,94.65595307585255
0005D759-A56F-E111-B43A-00505680000A,D80F8A62-D7F0-EA11-8115-001DD8B72B62,OV-NW-Voka Update-2020-AIO-Goede cybersecurity zonder bewuste medewerkers is valse veiligheid,94.49756135068593
0005D759-A56F-E111-B43A-00505680000A,527D0CC6-858F-EA11-810F-001DD8B72B61,Voka Netwekkers Digitaal - 27 mei 2020,94.47728001913805
0005D759-A56F-E111-B43A-00505680000A,002B50B9-36D9-E911-8105-001DD8B72B61,OV-NW-Voka Update-AIO-Sep2019-Een nieuw vennootschapsrecht: impact en opportuniteiten,94.29601504102955
0005D759-A56F-E111-B43A-00505680000A,932690EF-20B1-ED11-83FF-6045BD895B5A,Community Event: Grootmeesters van de groei,94.17237568568623
0005D759-A56F-E111-B43A-00505680000A,9989BE5A-0B80-EB11-811A-001DD8B72B61,Lunchmeeting met Frank Beckx op 19 mei 2021,93.89521833808313
0005D759-A56F-E111-B43A-00505680000A,7D6C1F03-BEA9-EC11-983F-0022488489AB,OV-NW-Voka Politica Nazareth 2022,93.89387314092774
0005D759-A56F-E111-B43A-00505680000A,E0D52A03-435D-EA11-810D-001DD8B72B61,OV-NW-Voka Update-AIO-Feb2020-7 principes voor succesvol beleggen,93.78450881821395
0005D759-A56F-E111-B43A-00505680000A,810A8FF6-4B3F-E911-80FC-001DD8B72B61,Voka Netwekkers - Keizershof Hotel Aalst,92.37223626477369
0005D759-A56F-E111-B43A-00505680000A,604B37A4-C064-ED11-9561-6045BD895B5A,Welkom@Voka - 28 februari 2023,92.31346715327538
0005D759-A56F-E111-B43A-00505680000A,50E89F83-32D9-E911-8105-001DD8B72B61,OV-NW-Voka Update-AIO-Sep2019-EconomischeVooruitzichtenVoorBelgischBeleid,91.98676006405567
0005D759-A56F-E111-B43A-00505680000A,A3D5E22C-C3F1-EA11-8115-001DD8B72B62,OV-NW-Voka Update-2020-AIO-10 tips om onbetaalde facturen te vermijden-factoring&kredietverzekering-schokbestendigheidsscore,91.34083160459949
0005D759-A56F-E111-B43A-00505680000A,7E04D7C8-59FC-EC11-82E5-000D3A3A954E,Voka's grote voorjaarsupdate op maandag 6 februari,91.20668953252056
0005D759-A56F-E111-B43A-00505680000A,B2939DB2-A3CC-ED11-B597-6045BD9745FB,Netwekkers bij Buro Project,90.82642227655113
0005D759-A56F-E111-B43A-00505680000A,1314F31E-1D1A-EC11-8126-001DD8B72B62,#WelkomBijVokaVaart - netwerkontbijt op 21 oktober 2021,89.85877004318445
0005D759-A56F-E111-B43A-00505680000A,EC55159E-109A-EC11-B400-0022488005A7,Voka's grote najaarsupdate op maandag 12 september,89.29899464538697
0005D759-A56F-E111-B43A-00505680000A,98C99E00-94B4-EB11-811B-001DD8B72B61,Voka Big Refresh - de grote najaarsupdate op maandag 13 september,88.90643808433941
0005D759-A56F-E111-B43A-00505680000A,870BA609-A856-ED11-BBA2-6045BD895D85,Voka's XpertFinder | HR Tech,88.78464487763989
0005D759-A56F-E111-B43A-00505680000A,994A7017-F783-EC11-8D21-6045BD8F7493,Voka op bezoek bij IVAGO op donderdag 19 mei,88.07533912102662
0005D759-A56F-E111-B43A-00505680000A,78BED910-1EEB-EC11-BB3D-002248858672,OV-NW/IN-XpertFinder Logistiek - november 2022,87.21489769938464
0005D759-A56F-E111-B43A-00505680000A,0B64F937-E8D5-EC11-A7B5-000D3ABD1F85,Welkom@Voka - 15 november 2022,86.55133883635422
0005D759-A56F-E111-B43A-00505680000A,196ECF03-10E4-ED11-A7C7-6045BD895FE4,Vaart Club met Patrick Steenssens,84.54960624707961
0005D759-A56F-E111-B43A-00505680000A,C6B69710-7CB6-ED11-83FF-6045BD8956C9,Voka Visit bij Kunstgieterij Van Geert en Atelier Sauveur,82.82639901662453
0005D759-A56F-E111-B43A-00505680000A,307DDCDD-A0CC-ED11-B597-000D3A4AB78E,Voka Visit bij Gadot,82.63384634268618
0005D759-A56F-E111-B43A-00505680000A,B4E3E30A-E6CA-EC11-A7B5-000D3A20A90F,Voka's Quick Refresh - Energiedelen en energiegemeenschappen,81.81490438167205
0005D759-A56F-E111-B43A-00505680000A,9D0868DB-952A-EC11-8124-001DD8B72B61,Voka Quick Refresh van 22 tot en met 26 november 2021,68.69756003094135
0005D759-A56F-E111-B43A-00505680000A,0BB0A1DD-67B3-ED11-83FF-6045BD8956C9,Vaart Club - 30 maart,67.4806126467037
0005D759-A56F-E111-B43A-00505680000A,2983FB52-C716-EC11-8126-001DD8B72B62,Ontbijtgesprek met Bart Wallays en Wim Adriaens over regio Dender,63.34198197230505
