User,Campaign,crm_Campagne_Naam_in_email,Likelihood
00228AA5-78F0-E311-956D-005056B06EB4,A8190EB8-97F7-EC11-BB3D-0022488401C6,Voka Visit - Taminco/eastman in de Gentse haven op donderdag 6 oktober,97.48232442934456
00228AA5-78F0-E311-956D-005056B06EB4,F0BBA321-1336-EA11-810B-001DD8B72B62,Voka Netwekkers Gaat Digitaal,97.44412938999729
00228AA5-78F0-E311-956D-005056B06EB4,0F7A008F-4CBA-EC11-983F-6045BD8C5B6B,Lunchmeeting met Banque de Luxembourg - vrijdag 13 mei,97.41996390217626
00228AA5-78F0-E311-956D-005056B06EB4,67CC5025-D032-EA11-810B-001DD8B72B62,Voka Netwekkers Oost meets West bij AAROVA Events,97.33386800994327
00228AA5-78F0-E311-956D-005056B06EB4,F244649C-50BC-EA11-8113-001DD8B72B62,De grote najaarsupdate bij Voka: The Big Refresh Digitaal,97.18712631790515
00228AA5-78F0-E311-956D-005056B06EB4,80FDD8C4-0428-EB11-8115-001DD8B72B61,Voka Netwekkers 'vanuit uw kot' - 3 februari 2021,97.13799196419299
00228AA5-78F0-E311-956D-005056B06EB4,810A8FF6-4B3F-E911-80FC-001DD8B72B61,Voka Netwekkers - Keizershof Hotel Aalst,96.97424875624424
00228AA5-78F0-E311-956D-005056B06EB4,C693DACA-04CF-ED11-B597-6045BD895805,Rode Loper Selectie: Gent Jazz: Openingsavond met Gregory Porter,96.93823774224843
00228AA5-78F0-E311-956D-005056B06EB4,9E035210-EE90-E911-80FF-001DD8B72B62,Lunchmeeting scale-ups vs Sofie Bracke,96.87805407806603
00228AA5-78F0-E311-956D-005056B06EB4,DC29A7EA-33D9-E911-8105-001DD8B72B61,OV-NW-Voka Update-AIO-Sep2019-Hoe digitalisering de menselijke factor in HR ondersteunt,96.71487689785
00228AA5-78F0-E311-956D-005056B06EB4,738E8376-4C29-E911-80FB-001DD8B72B62,OV-NW-Voka Vista,96.66167704615216
00228AA5-78F0-E311-956D-005056B06EB4,D889580A-475D-EA11-810D-001DD8B72B61,OV-NW-Voka Update-AIO-Feb2020-Crowdlending: het ontbrekende stukje in de financieringsmix,96.65021847993631
00228AA5-78F0-E311-956D-005056B06EB4,B9F5EA1B-189A-EC11-B400-0022488005A7,Voka op bezoek bij Libert Paints op dinsdag 5 juli,96.46168304827536
00228AA5-78F0-E311-956D-005056B06EB4,D80F8A62-D7F0-EA11-8115-001DD8B72B62,OV-NW-Voka Update-2020-AIO-Goede cybersecurity zonder bewuste medewerkers is valse veiligheid,96.41841136857171
00228AA5-78F0-E311-956D-005056B06EB4,292AFF3C-DFFD-EC11-82E5-000D3A3A3AC2,OV-NW-Voka Politica Gent 2022,96.39937429296168
00228AA5-78F0-E311-956D-005056B06EB4,9FFEF735-CCF0-ED11-8849-6045BD895D85,Voka Politica in Lebbeke,96.36113059623035
00228AA5-78F0-E311-956D-005056B06EB4,18AB6397-F5E0-E911-8106-001DD8B72B62,Welkom@Voka 21 april 2020,96.34877122181179
00228AA5-78F0-E311-956D-005056B06EB4,932690EF-20B1-ED11-83FF-6045BD895B5A,Community Event: Grootmeesters van de groei,96.31933524384458
00228AA5-78F0-E311-956D-005056B06EB4,3C6E8BB5-6FBF-EA11-8111-001DD8B72B61,Lunchmeeting met Niko Demeester - 25 november 2020,96.23320811563956
00228AA5-78F0-E311-956D-005056B06EB4,F865B494-FC2F-EC11-8127-001DD8B72B62,Voka Vaart - Vaartmakers - Fototentoonstelling aankoop,96.17062428822763
00228AA5-78F0-E311-956D-005056B06EB4,833C8519-55DA-EB11-8124-001DD8B72B62,Lunchmeeting met Frank Beckx op 25 augustus 2021,96.13452084506059
00228AA5-78F0-E311-956D-005056B06EB4,482A887D-4C73-EA11-8110-001DD8B72B62,Welkom@Voka 13 oktober 2020,96.1148374410182
00228AA5-78F0-E311-956D-005056B06EB4,3C95AC10-7248-EC11-8C62-6045BD8D2834,Voka op bezoek bij Deroose Plants | Exotic Plant - Donderdag 17 februari 2022,95.9830815961194
00228AA5-78F0-E311-956D-005056B06EB4,C9007FD3-6F2F-E911-80FB-001DD8B72B62,Lunchmeeting 6x6 scale-ups vs ceo's,95.73573357445201
00228AA5-78F0-E311-956D-005056B06EB4,0728E9C1-0494-EA11-810F-001DD8B72B61,Voka Netwekkers - Fysiek én Digitaal - 8 juli 2020,95.69994738483017
00228AA5-78F0-E311-956D-005056B06EB4,FABFC414-9011-ED11-B83D-000D3A43E419,Voka Politica Destelbergen - dinsdag 4 oktober 2022,95.59088267682169
00228AA5-78F0-E311-956D-005056B06EB4,9989BE5A-0B80-EB11-811A-001DD8B72B61,Lunchmeeting met Frank Beckx op 19 mei 2021,95.43847143671852
00228AA5-78F0-E311-956D-005056B06EB4,527D0CC6-858F-EA11-810F-001DD8B72B61,Voka Netwekkers Digitaal - 27 mei 2020,95.43420011272346
00228AA5-78F0-E311-956D-005056B06EB4,D1D582AD-570C-EA11-8107-001DD8B72B61,Lunchmeeting 'Overdracht van vermogen en successieplanning' met Banque de Luxembourg - 13 december bij Voka,95.40002031080029
00228AA5-78F0-E311-956D-005056B06EB4,A3D5E22C-C3F1-EA11-8115-001DD8B72B62,OV-NW-Voka Update-2020-AIO-10 tips om onbetaalde facturen te vermijden-factoring&kredietverzekering-schokbestendigheidsscore,95.24649325656294
00228AA5-78F0-E311-956D-005056B06EB4,AE5F16D7-5B01-EA11-8107-001DD8B72B62,Big Refresh - De grote voorjaarsupdate,95.21187510026697
00228AA5-78F0-E311-956D-005056B06EB4,46C0357E-13E0-ED11-A7C6-6045BD895FE4,Politica in Erpe-Mere,95.04421258716603
00228AA5-78F0-E311-956D-005056B06EB4,96C4B086-AFF3-EC11-BB3D-000D3A492DF1,Voka|VeGHO Portlunch met Vincent Van Peteghem,94.64412217637161
00228AA5-78F0-E311-956D-005056B06EB4,4048E0EB-80ED-E811-80FA-001DD8B72B62,Lunchmeeting Niko Demeester,94.50331157211176
00228AA5-78F0-E311-956D-005056B06EB4,B099F5E1-0B49-EC11-8C62-6045BD8D2834,Welkom@Voka op 22 februari 2022,94.43962238405715
00228AA5-78F0-E311-956D-005056B06EB4,3CFB2D89-D701-ED11-82E5-000D3A2A9467,Voka Politica in Zwijnaarde 2022,94.10268214267734
00228AA5-78F0-E311-956D-005056B06EB4,604B37A4-C064-ED11-9561-6045BD895B5A,Welkom@Voka - 28 februari 2023,93.70431000750045
00228AA5-78F0-E311-956D-005056B06EB4,002B50B9-36D9-E911-8105-001DD8B72B61,OV-NW-Voka Update-AIO-Sep2019-Een nieuw vennootschapsrecht: impact en opportuniteiten,93.55613007454632
00228AA5-78F0-E311-956D-005056B06EB4,992CC4DE-B05E-EA11-810F-001DD8B72B62,OV-NW-Voka Update-AIO-Feb2020-Digitale Marketing als onderdeel van de bedrijfsstrategie,93.33877983103024
00228AA5-78F0-E311-956D-005056B06EB4,870BA609-A856-ED11-BBA2-6045BD895D85,Voka's XpertFinder | HR Tech,91.7864000226253
00228AA5-78F0-E311-956D-005056B06EB4,EC55159E-109A-EC11-B400-0022488005A7,Voka's grote najaarsupdate op maandag 12 september,89.28194080015375
00228AA5-78F0-E311-956D-005056B06EB4,7E04D7C8-59FC-EC11-82E5-000D3A3A954E,Voka's grote voorjaarsupdate op maandag 6 februari,89.12971059020671
00228AA5-78F0-E311-956D-005056B06EB4,0B64F937-E8D5-EC11-A7B5-000D3ABD1F85,Welkom@Voka - 15 november 2022,88.50276687163142
00228AA5-78F0-E311-956D-005056B06EB4,98C99E00-94B4-EB11-811B-001DD8B72B61,Voka Big Refresh - de grote najaarsupdate op maandag 13 september,88.3231902092972
00228AA5-78F0-E311-956D-005056B06EB4,B2939DB2-A3CC-ED11-B597-6045BD9745FB,Netwekkers bij Buro Project,88.2620440110734
00228AA5-78F0-E311-956D-005056B06EB4,1314F31E-1D1A-EC11-8126-001DD8B72B62,#WelkomBijVokaVaart - netwerkontbijt op 21 oktober 2021,88.13561949437356
00228AA5-78F0-E311-956D-005056B06EB4,C6B69710-7CB6-ED11-83FF-6045BD8956C9,Voka Visit bij Kunstgieterij Van Geert en Atelier Sauveur,87.83647551729005
00228AA5-78F0-E311-956D-005056B06EB4,994A7017-F783-EC11-8D21-6045BD8F7493,Voka op bezoek bij IVAGO op donderdag 19 mei,85.43906404865392
00228AA5-78F0-E311-956D-005056B06EB4,B4E3E30A-E6CA-EC11-A7B5-000D3A20A90F,Voka's Quick Refresh - Energiedelen en energiegemeenschappen,84.37874585276518
00228AA5-78F0-E311-956D-005056B06EB4,196ECF03-10E4-ED11-A7C7-6045BD895FE4,Vaart Club met Patrick Steenssens,84.34693792775802
00228AA5-78F0-E311-956D-005056B06EB4,78BED910-1EEB-EC11-BB3D-002248858672,OV-NW/IN-XpertFinder Logistiek - november 2022,81.8541905429402
00228AA5-78F0-E311-956D-005056B06EB4,307DDCDD-A0CC-ED11-B597-000D3A4AB78E,Voka Visit bij Gadot,79.95081571436792
00228AA5-78F0-E311-956D-005056B06EB4,0BB0A1DD-67B3-ED11-83FF-6045BD8956C9,Vaart Club - 30 maart,68.87691628922789
00228AA5-78F0-E311-956D-005056B06EB4,2983FB52-C716-EC11-8126-001DD8B72B62,Ontbijtgesprek met Bart Wallays en Wim Adriaens over regio Dender,68.37894102752294
00228AA5-78F0-E311-956D-005056B06EB4,9D0868DB-952A-EC11-8124-001DD8B72B61,Voka Quick Refresh van 22 tot en met 26 november 2021,66.08832663219584
